equipment_type,rated_power_kw,poles,ie1_efficiency_pct,ie2_efficiency_pct,ie3_efficiency_pct,ie4_efficiency_pct,standard
"Electric Motor",0.75,4,72.1,79.6,82.5,85.7,"IEC 60034-30-1 / IS 12615"
"Electric Motor",2.2,4,79.7,84.3,86.7,89.5,"IEC 60034-30-1 / IS 12615"
"Electric Motor",7.5,4,86,88.7,90.4,92.6,"IEC 60034-30-1 / IS 12615"
"Electric Motor",22,4,90.5,92.2,93.3,94.9,"IEC 60034-30-1 / IS 12615"
"Electric Motor",75,4,93.6,94.7,95.4,96.5,"IEC 60034-30-1 / IS 12615"
"Electric Motor",160,4,94.8,95.6,96.2,97.1,"IEC 60034-30-1 / IS 12615"
"Industrial Boiler",,,,,,,"Indian Boiler Regulations"
"Rotary Screw Compressor",45,,,,,,"ISO 1217 Annex C"
