artifact_id,source_version_id,file_name,mime_type,raw_storage_path,download_url,file_size_bytes,checksum_sha256,retrieved_at
"ART-SRC-EU-CBAM-2026","VER-SRC-EU-CBAM-2026","cbam_importers_guidance_reference.json","application/json","data/raw/cbam/cbam_importers_guidance_reference.json","https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en",840,"79c46bae89caa7963992d41cd2e6c79cd057f9255861bbc581ef3c320631b726","2026-09-12T02:08:48.623Z"
"ART-SRC-CPCB-RULES","VER-SRC-CPCB-RULES","cpcb_hazardous_waste_rules_2016.pdf","application/pdf","data/raw/cpcb/cpcb_hazardous_waste_rules_2016.pdf","https://cpcb.nic.in/waste-management-rules/",146,"6b141bbabfa217b41a4486eee384fda5ea0c4ed65ec614d68cd2eef2fad77918","2026-09-12T02:08:48.624Z"
"ART-SRC-MOEFCC-ASH","VER-SRC-MOEFCC-ASH","moefcc_fly_ash_notification_reference.json","application/json","data/raw/moefcc/moefcc_fly_ash_notification_reference.json","https://moef.gov.in/en/division/environment-divisions/fly-ash-management/",656,"6ea8dbc19c44e90e6f4cbc5692021cc6e197afb4ec79cf1e26f2f56109ce9ec2","2026-09-12T02:08:48.625Z"
"ART-SRC-BEE-AUDITORS-ESCO","VER-SRC-BEE-AUDITORS-ESCO","bee_msme_55_clusters_study.pdf","application/pdf","data/raw/bee/bee_msme_55_clusters_study.pdf","https://beeindia.gov.in/",347137,"bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663","2026-09-12T02:08:48.627Z"
"ART-SRC-BEE-CCTS-2025","VER-SRC-BEE-CCTS-2025","bee_msme_55_clusters_study.pdf","application/pdf","data/raw/bee/bee_msme_55_clusters_study.pdf","https://beeindia.gov.in/",347137,"bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663","2026-09-12T02:08:48.629Z"
"ART-SRC-BEE-MSME-2024","VER-SRC-BEE-MSME-2024","bee_msme_55_clusters_study.pdf","application/pdf","data/raw/bee/bee_msme_55_clusters_study.pdf","https://beeindia.gov.in/",347137,"bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663","2026-09-12T02:08:48.631Z"
"ART-SRC-SIDHIEE-2025","VER-SRC-SIDHIEE-2025","adeetie_energy_efficient_technologies_reference.json","application/json","data/raw/sidhiee_adeetie/adeetie_energy_efficient_technologies_reference.json","https://sidhiee.beeindia.gov.in/",680,"c1580139e6368f3d6608e2046c8c7c395167a073ec98b6049ce2f563d372b638","2026-09-12T02:08:48.632Z"
"ART-SRC-IEC-BIS-MOTORS","VER-SRC-IEC-BIS-MOTORS","iec_60034_30_1_2025_preview.pdf","application/pdf","data/raw/iec/iec_60034_30_1_2025_preview.pdf","https://www.bis.gov.in/",451599,"4f3733bc97a2ff60183662cbe4f12bed7417e30f26c5f5e4b0627ead91886a76","2026-09-12T02:08:48.635Z"
"ART-SRC-GLEC-INDIA-2024","VER-SRC-GLEC-INDIA-2024","sfc_india_default_freight_factors_v1_reference.json","application/json","data/raw/sfc/sfc_india_default_freight_factors_v1_reference.json","https://smartfreightcentre.org/",700,"b56672bbb8f2efaa9700568136796cd47bd33b0d9076bf879e36ec384460d447","2026-09-12T02:08:48.636Z"
"ART-SRC-SEBI-BRSR-2025","VER-SRC-SEBI-BRSR-2025","sebi_brsr_value_chain_circular_2025_reference.json","application/json","data/raw/sebi/sebi_brsr_value_chain_circular_2025_reference.json","https://www.sebi.gov.in/",892,"78115158d76e0af1ceea20f64774660dca440736d934de26b28bc0f22cf05374","2026-09-12T02:08:48.637Z"
"ART-SRC-EU-CBAM-2026","VER-SRC-EU-CBAM-2026","cbam_importers_guidance_reference.json","application/json","data/raw/cbam/cbam_importers_guidance_reference.json","https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en",840,"79c46bae89caa7963992d41cd2e6c79cd057f9255861bbc581ef3c320631b726","2026-09-12T02:08:48.638Z"
"ART-SRC-CPCB-RULES","VER-SRC-CPCB-RULES","cpcb_hazardous_waste_rules_2016.pdf","application/pdf","data/raw/cpcb/cpcb_hazardous_waste_rules_2016.pdf","https://cpcb.nic.in/waste-management-rules/",146,"6b141bbabfa217b41a4486eee384fda5ea0c4ed65ec614d68cd2eef2fad77918","2026-09-12T02:08:48.639Z"
"ART-SRC-MOEFCC-ASH","VER-SRC-MOEFCC-ASH","moefcc_fly_ash_notification_reference.json","application/json","data/raw/moefcc/moefcc_fly_ash_notification_reference.json","https://moef.gov.in/en/division/environment-divisions/fly-ash-management/",656,"6ea8dbc19c44e90e6f4cbc5692021cc6e197afb4ec79cf1e26f2f56109ce9ec2","2026-09-12T02:08:48.640Z"
"ART-SRC-BEE-AUDITORS-ESCO","VER-SRC-BEE-AUDITORS-ESCO","bee_msme_55_clusters_study.pdf","application/pdf","data/raw/bee/bee_msme_55_clusters_study.pdf","https://beeindia.gov.in/",347137,"bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663","2026-09-12T02:08:48.641Z"
"ART-SRC-BEE-CCTS-2025","VER-SRC-BEE-CCTS-2025","bee_msme_55_clusters_study.pdf","application/pdf","data/raw/bee/bee_msme_55_clusters_study.pdf","https://beeindia.gov.in/",347137,"bf0ee098dbba2438cfd056f5a7fe90187d92d61195dd59b01b4226ff09084663","2026-09-12T02:08:48.643Z"
